Price,Close,Log_Returns,Filtered_Trend
Ticker,EURUSD=X,,5.4527481196679135e-06
Datetime,,,6.566170602833871e-06
2026-03-27 16:00:00+00:00,1.152339220046997,-0.0001152364640066,9.314107715083654e-06
2026-03-27 17:00:00+00:00,1.151543140411377,-0.0006910766634323,-7.902716916994398e-05
2026-03-27 18:00:00+00:00,1.1516757011413574,0.0001151091053401,-5.321010949840331e-05
2026-03-27 19:00:00+00:00,1.1520737409591675,0.000345558257766,-7.436833164201452e-07
2026-03-27 20:00:00+00:00,1.151145339012146,-0.0008061777582317,-0.00013283111063420612
2026-03-27 21:00:00+00:00,1.151012897491455,-0.0001150585730702,-0.00013524406380678608
2026-03-29 23:00:00+00:00,1.1494252681732178,-0.0013802844988353,-0.00033460357414600244
2026-03-30 00:00:00+00:00,1.151012897491455,0.0013802844988351,-4.505198131258133e-05
2026-03-30 01:00:00+00:00,1.1507480144500732,-0.0002301568691838,-7.248827252567514e-05
2026-03-30 02:00:00+00:00,1.151410460472107,0.0005754999471437,2.103517378839268e-05
2026-03-30 03:00:00+00:00,1.1519410610198975,0.0004607204347449,0.00010396388012492916
2026-03-30 04:00:00+00:00,1.1516757011413574,-0.0002303854391689,4.044277602697381e-05
2026-03-30 05:00:00+00:00,1.1519410610198975,0.0002303854391688,4.753588471147263e-05
2026-03-30 06:00:00+00:00,1.151543140411377,-0.000345494544509,-4.5933279934760114e-05
2026-03-30 07:00:00+00:00,1.1500862836837769,-0.0012659352603949,-0.0002804597063677596
2026-03-30 08:00:00+00:00,1.1499539613723755,-0.0001150608662885,-0.00028095613587581056
2026-03-30 09:00:00+00:00,1.1499539613723755,0.0,-0.00022168319433339315
2026-03-30 10:00:00+00:00,1.1492931842803955,-0.000574776932024,-0.0003081039654059345
2026-03-30 11:00:00+00:00,1.1488970518112183,-0.0003447342755872,-0.0002789409614749991
2026-03-30 12:00:00+00:00,1.1486331224441528,-0.0002297505131239,-0.00028783567574582124
2026-03-30 13:00:00+00:00,1.1466574668884277,-0.0017214866412246,-0.0005525039830076173
2026-03-30 14:00:00+00:00,1.1467890739440918,0.0001147679298081,-0.00043370476264595223
2026-03-30 15:00:00+00:00,1.145737886428833,-0.0009170558140417,-0.0005234607804876434
2026-03-30 16:00:00+00:00,1.1461317539215088,0.0003437084637092,-0.0003799694103195852
2026-03-30 17:00:00+00:00,1.1460003852844238,-0.0001146257102562,-0.00032760952446445984
